date,area,category
2027-02-12,下連雀2丁目,ペットボトル
2027-02-15,下連雀2丁目,燃やせるごみ
2027-02-16,下連雀2丁目,プラスチック・有害ごみ
2027-02-17,下連雀2丁目,燃やせないごみ
2027-02-18,下連雀2丁目,燃やせるごみ
2027-02-19,下連雀2丁目,古紙・古着
2027-02-19,下連雀2丁目,空きびん・缶
2027-02-22,下連雀2丁目,燃やせるごみ
2027-02-23,下連雀2丁目,プラスチック・有害ごみ
2027-02-25,下連雀2丁目,燃やせるごみ
2027-02-26,下連雀2丁目,古紙・古着
2027-02-26,下連雀2丁目,ペットボトル
2027-03-01,下連雀2丁目,燃やせるごみ
2027-03-02,下連雀2丁目,プラスチック・有害ごみ
2027-03-03,下連雀2丁目,燃やせないごみ
2027-03-04,下連雀2丁目,燃やせるごみ
2027-03-05,下連雀2丁目,古紙・古着
2027-03-05,下連雀2丁目,空きびん・缶
2027-03-08,下連雀2丁目,燃やせるごみ
2027-03-09,下連雀2丁目,プラスチック・有害ごみ
2027-03-11,下連雀2丁目,燃やせるごみ
2027-03-12,下連雀2丁目,古紙・古着
2027-03-12,下連雀2丁目,ペットボトル
2027-03-15,下連雀2丁目,燃やせるごみ
2027-03-16,下連雀2丁目,プラスチック・有害ごみ
2027-03-17,下連雀2丁目,燃やせないごみ
2027-03-18,下連雀2丁目,燃やせるごみ
2027-03-19,下連雀2丁目,古紙・古着
2027-03-19,下連雀2丁目,空きびん・缶
2027-03-22,下連雀2丁目,燃やせるごみ
2027-03-23,下連雀2丁目,プラスチック・有害ごみ
2027-03-25,下連雀2丁目,燃やせるごみ
2027-03-26,下連雀2丁目,古紙・古着
2027-03-26,下連雀2丁目,ペットボトル
2027-03-29,下連雀2丁目,燃やせるごみ
2027-03-30,下連雀2丁目,プラスチック・有害ごみ
